,Time,Resource,State,Activtiy,Expected End Time,Material,Target location
0,14.532971605505873,R3,Breakdownstate_2,start state,44.53297160550587,,
1,34.60925122596171,R1,P1,start state,51.965732255740924,Material_1 instance N.0,
2,44.53297160550587,R3,Breakdownstate_2,end state,44.53297160550587,,
3,47.596494292009965,R3,Breakdownstate_2,start state,77.59649429200996,,
4,51.78958106440759,TR1,Breakdownstate_1,start state,81.7895810644076,,
5,51.965732255740924,R1,P1,end state,51.965732255740924,Material_1 instance N.0,
6,77.59649429200996,R3,Breakdownstate_2,end state,77.59649429200996,,
7,81.7895810644076,TR1,Breakdownstate_1,end state,81.7895810644076,,
8,81.7895810644076,TR1,TP1,start state,82.0506921755187,Material_1 instance N.0,R1
10,82.0506921755187,TR1,TP1,start state,82.31180328662981,Material_1 instance N.0,R2
9,82.0506921755187,TR1,TP1,end state,82.0506921755187,Material_1 instance N.0,R1
11,82.31180328662981,TR1,TP1,end state,82.31180328662981,Material_1 instance N.0,R2
12,82.31180328662981,R2,P2,start state,97.31180328662981,Material_1 instance N.0,
13,89.44845773026663,R3,P1,start state,104.33899087607938,Material_1 instance N.1,
14,93.48792763718363,R1,P1,start state,97.2666735138315,Material_2 instance N.2,
15,97.2666735138315,R1,P1,end state,97.2666735138315,Material_2 instance N.2,
16,97.2666735138315,TR1,TP1,start state,97.52778462494261,Material_2 instance N.2,R1
17,97.31180328662981,R2,P2,end state,97.31180328662981,Material_1 instance N.0,
19,97.52778462494261,TR1,TP1,start state,97.78889573605372,Material_2 instance N.2,R2
18,97.52778462494261,TR1,TP1,end state,97.52778462494261,Material_2 instance N.2,R1
21,97.78889573605372,TR1,TP1,start state,98.05000684716482,Material_1 instance N.0,R3
22,97.78889573605372,R2,P3,start state,106.83486857635741,Material_2 instance N.2,
20,97.78889573605372,TR1,TP1,end state,97.78889573605372,Material_2 instance N.2,R2
23,98.05000684716482,TR1,TP1,end state,98.05000684716482,Material_1 instance N.0,R3
24,104.33899087607938,R3,P1,end state,104.33899087607938,Material_1 instance N.1,
25,104.33899087607938,R3,P1,start state,118.40084923938002,Material_1 instance N.0,
26,104.33899087607938,TR1,TP1,start state,104.7112130983016,Material_1 instance N.1,R1
27,104.7112130983016,TR1,TP1,end state,104.7112130983016,Material_1 instance N.1,R1
28,104.7112130983016,R1,P2,start state,119.7112130983016,Material_1 instance N.1,
29,106.83486857635741,R2,P3,end state,106.83486857635741,Material_2 instance N.2,
30,106.83486857635741,TR1,TP1,start state,107.09597968746851,Material_2 instance N.2,R2
31,107.09597968746851,TR1,TP1,end state,107.09597968746851,Material_2 instance N.2,R2
32,107.09597968746851,TR1,TP1,start state,107.24597968746852,Material_2 instance N.2,R2
34,107.24597968746852,R2,P2,start state,122.24597968746852,Material_2 instance N.2,
33,107.24597968746852,TR1,TP1,end state,107.24597968746852,Material_2 instance N.2,R2
35,118.40084923938002,R3,P1,end state,118.40084923938002,Material_1 instance N.0,
36,119.7112130983016,R1,P2,end state,119.7112130983016,Material_1 instance N.1,
37,119.7112130983016,TR1,TP1,start state,119.9723242094127,Material_1 instance N.1,R1
38,119.9723242094127,TR1,TP1,end state,119.9723242094127,Material_1 instance N.1,R1
39,119.9723242094127,TR1,TP1,start state,120.34454643163492,Material_1 instance N.1,R3
40,120.34454643163492,TR1,TP1,end state,120.34454643163492,Material_1 instance N.1,R3
41,120.34454643163492,R3,P1,start state,140.98098930356068,Material_1 instance N.1,
43,122.24597968746852,TR1,TP1,start state,122.50709079857963,Material_2 instance N.2,R2
42,122.24597968746852,R2,P2,end state,122.24597968746852,Material_2 instance N.2,
45,122.50709079857963,TR1,TP1,start state,122.76820190969073,Material_2 instance N.2,R1
44,122.50709079857963,TR1,TP1,end state,122.50709079857963,Material_2 instance N.2,R2
46,122.76820190969073,TR1,TP1,end state,122.76820190969073,Material_2 instance N.2,R1
47,122.76820190969073,R1,P1,start state,138.9817529229876,Material_2 instance N.2,
48,138.9817529229876,R1,P1,end state,138.9817529229876,Material_2 instance N.2,
49,140.98098930356068,R3,P1,end state,140.98098930356068,Material_1 instance N.1,
50,140.98098930356068,R3,P1,start state,149.0681036758859,Material_2 instance N.3,
51,149.0681036758859,R3,P1,end state,149.0681036758859,Material_2 instance N.3,
52,149.0681036758859,TR1,TP1,start state,149.44032589810814,Material_2 instance N.3,R3
53,149.44032589810814,TR1,TP1,end state,149.44032589810814,Material_2 instance N.3,R3
54,149.44032589810814,TR1,TP1,start state,149.59032589810815,Material_2 instance N.3,R3
56,149.59032589810815,R3,P3,start state,152.73379897052195,Material_2 instance N.3,
55,149.59032589810815,TR1,TP1,end state,149.59032589810815,Material_2 instance N.3,R3
57,151.77987364681618,R2,Breakdownstate_2,start state,181.77987364681618,,
58,152.30009368873408,TR1,Breakdownstate_1,start state,182.30009368873408,,
59,152.73379897052195,R3,P3,end state,152.73379897052195,Material_2 instance N.3,
60,181.77987364681618,R2,Breakdownstate_2,end state,181.77987364681618,,
61,182.30009368873408,TR1,Breakdownstate_1,end state,182.30009368873408,,
62,182.30009368873408,TR1,TP1,start state,182.5612047998452,Material_2 instance N.3,R2
63,182.5612047998452,TR1,TP1,end state,182.5612047998452,Material_2 instance N.3,R2
64,182.5612047998452,R2,P2,start state,197.5612047998452,Material_2 instance N.3,
65,183.6702845269735,TR1,Breakdownstate_1,start state,213.6702845269735,,
66,197.5612047998452,R2,P2,end state,197.5612047998452,Material_2 instance N.3,
68,213.6702845269735,TR1,TP1,start state,213.9313956380846,Material_2 instance N.3,R3
67,213.6702845269735,TR1,Breakdownstate_1,end state,213.6702845269735,,
69,213.9313956380846,TR1,TP1,end state,213.9313956380846,Material_2 instance N.3,R3
70,213.9313956380846,R3,P1,start state,232.66936057034837,Material_2 instance N.3,
71,232.66936057034837,R3,P1,end state,232.66936057034837,Material_2 instance N.3,
72,252.14913948174853,R1,P1,start state,262.1940367932747,Material_1 instance N.4,
73,260.3060875615916,R1,P1,start state,278.32087175686047,Material_1 instance N.5,
74,262.1940367932747,R1,P1,end state,262.1940367932747,Material_1 instance N.4,
75,262.1940367932747,TR1,TP1,start state,262.5662590154969,Material_1 instance N.4,R1
76,262.5662590154969,TR1,TP1,end state,262.5662590154969,Material_1 instance N.4,R1
77,262.5662590154969,TR1,TP1,start state,262.71625901549686,Material_1 instance N.4,R1
78,262.5856692845252,R1,P1,start state,265.453678446239,Material_1 instance N.6,
79,262.71625901549686,TR1,TP1,end state,262.71625901549686,Material_1 instance N.4,R1
80,265.453678446239,R1,P1,end state,265.453678446239,Material_1 instance N.6,
81,265.453678446239,TR1,TP1,start state,265.603678446239,Material_1 instance N.6,R1
82,265.453678446239,R1,P2,start state,280.453678446239,Material_1 instance N.4,
83,265.603678446239,TR1,TP1,end state,265.603678446239,Material_1 instance N.6,R1
84,278.32087175686047,R1,P1,end state,278.32087175686047,Material_1 instance N.5,
85,278.32087175686047,TR1,TP1,start state,278.47087175686045,Material_1 instance N.5,R1
86,278.47087175686045,TR1,TP1,end state,278.47087175686045,Material_1 instance N.5,R1
87,278.7254340127055,R3,P1,start state,286.03744934327665,Material_2 instance N.7,
90,280.453678446239,TR1,TP1,start state,280.8259006684612,Material_1 instance N.4,R3
89,280.453678446239,R1,P2,start state,295.453678446239,Material_1 instance N.6,
88,280.453678446239,R1,P2,end state,280.453678446239,Material_1 instance N.4,
91,280.8259006684612,TR1,TP1,end state,280.8259006684612,Material_1 instance N.4,R3
92,286.03744934327665,R3,P1,end state,286.03744934327665,Material_2 instance N.7,
93,286.03744934327665,R3,P1,start state,298.4924571191785,Material_1 instance N.4,
94,286.03744934327665,TR1,TP1,start state,286.29856045438777,Material_2 instance N.7,R2
95,286.29856045438777,TR1,TP1,end state,286.29856045438777,Material_2 instance N.7,R2
96,286.29856045438777,R2,P3,start state,293.4599161507067,Material_2 instance N.7,
97,292.4963525383187,TR1,Breakdownstate_1,start state,322.4963525383187,,
98,293.4599161507067,R2,P3,end state,293.4599161507067,Material_2 instance N.7,
99,295.453678446239,R1,P2,end state,295.453678446239,Material_1 instance N.6,
100,295.453678446239,R1,P2,start state,310.453678446239,Material_1 instance N.5,
101,298.4924571191785,R3,P1,end state,298.4924571191785,Material_1 instance N.4,
102,310.453678446239,R1,P2,end state,310.453678446239,Material_1 instance N.5,
103,322.4963525383187,TR1,Breakdownstate_1,end state,322.4963525383187,,
104,322.4963525383187,TR1,TP1,start state,322.75746364942984,Material_2 instance N.7,R1
105,322.75746364942984,TR1,TP1,end state,322.75746364942984,Material_2 instance N.7,R1
106,322.75746364942984,TR1,TP1,start state,322.9074636494298,Material_1 instance N.6,R1
107,322.75746364942984,R1,P2,start state,337.75746364942984,Material_2 instance N.7,
108,322.9074636494298,TR1,TP1,end state,322.9074636494298,Material_1 instance N.6,R1
109,322.9074636494298,TR1,TP1,start state,323.0574636494298,Material_1 instance N.5,R1
110,322.9074636494298,R1,P1,start state,330.58869437942957,Material_1 instance N.6,
111,323.0574636494298,TR1,TP1,end state,323.0574636494298,Material_1 instance N.5,R1
113,330.58869437942957,R1,P1,start state,339.4264668360929,Material_1 instance N.5,
112,330.58869437942957,R1,P1,end state,330.58869437942957,Material_1 instance N.6,
114,337.75746364942984,R1,P2,end state,337.75746364942984,Material_2 instance N.7,
115,337.75746364942984,TR1,TP1,start state,337.9074636494298,Material_2 instance N.7,R1
116,337.9074636494298,TR1,TP1,end state,337.9074636494298,Material_2 instance N.7,R1
117,337.9074636494298,R1,P1,start state,350.13798412710065,Material_2 instance N.7,
118,339.4264668360929,R1,P1,end state,339.4264668360929,Material_1 instance N.5,
119,350.13798412710065,R1,P1,end state,350.13798412710065,Material_2 instance N.7,
120,358.41593667529276,R3,Breakdownstate_2,start state,388.41593667529276,,
121,375.3087543316495,R1,P1,start state,390.73459482613646,Material_2 instance N.9,
122,388.41593667529276,R3,Breakdownstate_2,end state,388.41593667529276,,
123,388.41593667529276,R3,P1,start state,404.7475119236679,Material_2 instance N.8,
125,390.73459482613646,TR1,TP1,start state,390.9957059372476,Material_2 instance N.9,R2
124,390.73459482613646,R1,P1,end state,390.73459482613646,Material_2 instance N.9,
126,390.9957059372476,TR1,TP1,end state,390.9957059372476,Material_2 instance N.9,R2
127,390.9957059372476,R2,P3,start state,462.6858848541728,Material_2 instance N.9,
128,404.7475119236679,R3,P1,end state,404.7475119236679,Material_2 instance N.8,
129,404.7475119236679,R3,P1,start state,426.92011481167617,Material_1 instance N.10,
130,404.7475119236679,TR1,TP1,start state,405.008623034779,Material_2 instance N.8,R3
131,405.008623034779,TR1,TP1,end state,405.008623034779,Material_2 instance N.8,R3
132,405.008623034779,TR1,TP1,start state,405.26973414589014,Material_2 instance N.8,R2
133,405.26973414589014,TR1,TP1,end state,405.26973414589014,Material_2 instance N.8,R2
136,426.92011481167617,TR1,TP1,start state,427.1812259227873,Material_1 instance N.10,R3
134,426.92011481167617,R3,P1,end state,426.92011481167617,Material_1 instance N.10,
135,426.92011481167617,R3,P1,start state,439.2856065982186,Material_2 instance N.11,
137,427.1812259227873,TR1,TP1,end state,427.1812259227873,Material_1 instance N.10,R3
138,427.1812259227873,TR1,TP1,start state,427.5534481450095,Material_1 instance N.10,R1
139,427.5534481450095,TR1,TP1,end state,427.5534481450095,Material_1 instance N.10,R1
140,427.5534481450095,R1,P2,start state,442.5534481450095,Material_1 instance N.10,
141,439.2856065982186,R3,P1,end state,439.2856065982186,Material_2 instance N.11,
142,439.2856065982186,R3,P1,start state,455.93528590200384,Material_1 instance N.12,
143,439.2856065982186,TR1,TP1,start state,439.6578288204408,Material_2 instance N.11,R3
144,439.6578288204408,TR1,TP1,end state,439.6578288204408,Material_2 instance N.11,R3
145,439.6578288204408,TR1,TP1,start state,439.80782882044076,Material_2 instance N.11,R3
146,439.80782882044076,TR1,TP1,end state,439.80782882044076,Material_2 instance N.11,R3
147,442.5534481450095,R1,P2,end state,442.5534481450095,Material_1 instance N.10,
148,442.5534481450095,TR1,TP1,start state,442.9256703672317,Material_1 instance N.10,R1
149,442.9256703672317,TR1,TP1,end state,442.9256703672317,Material_1 instance N.10,R1
150,442.9256703672317,TR1,TP1,start state,443.0756703672317,Material_1 instance N.10,R1
151,443.0756703672317,TR1,TP1,end state,443.0756703672317,Material_1 instance N.10,R1
152,443.0756703672317,R1,P1,start state,453.1030542126357,Material_1 instance N.10,
153,446.8973910038191,R1,P1,start state,453.8095332313208,Material_1 instance N.15,
154,453.1030542126357,R1,P1,end state,453.1030542126357,Material_1 instance N.10,
155,453.8095332313208,R1,P1,end state,453.8095332313208,Material_1 instance N.15,
156,453.8095332313208,TR1,TP1,start state,454.07064434243193,Material_1 instance N.15,R2
157,454.07064434243193,TR1,TP1,end state,454.07064434243193,Material_1 instance N.15,R2
158,455.93528590200384,R3,P1,end state,455.93528590200384,Material_1 instance N.12,
159,455.93528590200384,R3,P1,start state,460.8871917989496,Material_1 instance N.13,
160,455.93528590200384,TR1,TP1,start state,456.19639701311496,Material_1 instance N.12,R3
161,456.19639701311496,TR1,TP1,end state,456.19639701311496,Material_1 instance N.12,R3
162,456.19639701311496,TR1,TP1,start state,456.56861923533717,Material_1 instance N.12,R1
163,456.56861923533717,TR1,TP1,end state,456.56861923533717,Material_1 instance N.12,R1
164,456.56861923533717,R1,P2,start state,471.56861923533717,Material_1 instance N.12,
168,460.8871917989496,R3,P3,start state,469.42189602984575,Material_2 instance N.11,
167,460.8871917989496,TR1,TP1,start state,461.2594140211718,Material_1 instance N.13,R3
165,460.8871917989496,R3,P1,end state,460.8871917989496,Material_1 instance N.13,
166,460.8871917989496,R3,P1,start state,477.82097238938513,Material_1 instance N.14,
169,461.2594140211718,TR1,TP1,end state,461.2594140211718,Material_1 instance N.13,R3
170,461.2594140211718,TR1,TP1,start state,461.631636243394,Material_1 instance N.13,R1
171,461.631636243394,TR1,TP1,end state,461.631636243394,Material_1 instance N.13,R1
172,462.6858848541728,R2,P3,end state,462.6858848541728,Material_2 instance N.9,
173,462.6858848541728,TR1,TP1,start state,462.9469959652839,Material_2 instance N.9,R2
174,462.6858848541728,R2,P3,start state,497.50487189984256,Material_2 instance N.8,
176,462.9469959652839,TR1,TP1,start state,463.20810707639504,Material_2 instance N.9,R1
175,462.9469959652839,TR1,TP1,end state,462.9469959652839,Material_2 instance N.9,R2
177,463.20810707639504,TR1,TP1,end state,463.20810707639504,Material_2 instance N.9,R1
178,469.42189602984575,R3,P3,end state,469.42189602984575,Material_2 instance N.11,
179,469.42189602984575,TR1,TP1,start state,469.79411825206796,Material_2 instance N.11,R3
181,469.79411825206796,TR1,TP1,start state,470.0552293631791,Material_2 instance N.11,R2
180,469.79411825206796,TR1,TP1,end state,469.79411825206796,Material_2 instance N.11,R3
182,470.0552293631791,TR1,TP1,end state,470.0552293631791,Material_2 instance N.11,R2
183,471.56861923533717,R1,P2,end state,471.56861923533717,Material_1 instance N.12,
184,471.56861923533717,R1,P2,start state,486.56861923533717,Material_1 instance N.13,
185,471.56861923533717,TR1,TP1,start state,471.8297303464483,Material_1 instance N.12,R1
