,Time,Resource,State,Activity,Expected End Time,Material,Target location
0,14.532971605505873,R3,Breakdownstate_2,start state,44.53297160550587,,
1,44.53297160550587,R3,Breakdownstate_2,end state,44.53297160550587,,
2,44.53297160550587,R3,P1,start state,55.33238537134705,Material_1 instance N.0,
4,47.596494292009965,R3,Breakdownstate_2,start state,77.59649429200996,,
3,47.596494292009965,R3,P1,start interrupt,55.33238537134705,Material_1 instance N.0,
5,51.78958106440759,R4,Breakdownstate_1,start state,81.7895810644076,,
6,54.76032510318161,TR1,Breakdownstate_1,start state,84.7603251031816,,
7,62.325285091455754,R1,P1,start state,79.34091198931719,Material_2 instance N.2,
8,66.95892735557405,R2,P3,start state,88.464379650584,Material_3 instance N.3,
9,77.59649429200996,R3,Breakdownstate_2,end state,77.59649429200996,,
10,77.59649429200996,R3,P1,end interrupt,85.33238537134706,Material_1 instance N.0,
11,79.34091198931719,R1,P1,end state,79.34091198931719,Material_2 instance N.2,
12,79.34091198931719,TR2,TP1,start state,79.9909119893172,Material_2 instance N.2,R1
13,79.9909119893172,TR2,TP1,end state,79.9909119893172,Material_2 instance N.2,R1
14,79.9909119893172,TR2,TP1,start state,80.47424532265053,Material_2 instance N.2,R2
15,80.47424532265053,TR2,TP1,end state,80.47424532265053,Material_2 instance N.2,R2
16,81.7895810644076,R4,Breakdownstate_1,end state,81.7895810644076,,
17,84.7603251031816,TR1,Breakdownstate_1,end state,84.7603251031816,,
18,85.33238537134706,R3,P1,end state,85.33238537134706,Material_1 instance N.0,
19,85.33238537134706,R3,P1,start state,99.20668391683473,Material_3 instance N.1,
20,85.33238537134706,TR1,TP1,start state,85.81571870468039,Material_1 instance N.0,R3
21,85.81571870468039,TR1,TP1,end state,85.81571870468039,Material_1 instance N.0,R3
22,85.81571870468039,TR1,TP1,start state,86.29905203801373,Material_1 instance N.0,R2
23,86.29905203801373,TR1,TP1,end state,86.29905203801373,Material_1 instance N.0,R2
24,88.464379650584,R2,P3,end state,88.464379650584,Material_3 instance N.3,
25,88.464379650584,R2,P3,start state,110.2142777813642,Material_3 instance N.5,
26,88.464379650584,TR1,TP1,start state,88.614379650584,Material_3 instance N.3,R2
