,Time,Resource,State,Activity,Material,Expected End Time,Target location
0,1.5008241238684918,S3,S3,created material,Material_3 instance N.0,,
1,1.5008241238684918,TR2,TP1,start state,Material_3 instance N.0,2.8174907905351585,S3
2,2.8174907905351585,TR2,TP1,end state,Material_3 instance N.0,2.8174907905351585,S3
3,2.8174907905351585,TR2,TP1,start state,Material_3 instance N.0,3.9674907905351584,R3
4,3.9674907905351584,TR2,TP1,end state,Material_3 instance N.0,3.9674907905351584,R3
5,3.9674907905351584,R3,P1,start state,Material_3 instance N.0,16.59104679373931,
6,16.59104679373931,R3,P1,end state,Material_3 instance N.0,16.59104679373931,
7,16.59104679373931,TR1,TP1,start state,Material_3 instance N.0,17.074380127072644,R3
8,17.074380127072644,TR1,TP1,end state,Material_3 instance N.0,17.074380127072644,R3
9,17.074380127072644,TR1,TP1,start state,Material_3 instance N.0,17.224380127072642,R3
10,17.224380127072642,TR1,TP1,end state,Material_3 instance N.0,17.224380127072642,R3
11,17.224380127072642,R3,P1,start state,Material_3 instance N.0,34.91913133474402,
13,19.436034379284404,R3,Breakdownstate_1,start state,,49.43603437928441,
12,19.436034379284404,R3,P1,start interrupt,Material_3 instance N.0,34.91913133474402,
14,24.261849938467467,S1,S1,created material,Material_1 instance N.1,,
15,24.261849938467467,TR1,TP1,start state,Material_1 instance N.1,25.7451832718008,S1
16,25.7451832718008,TR1,TP1,end state,Material_1 instance N.1,25.7451832718008,S1
17,25.7451832718008,TR1,TP1,start state,Material_1 instance N.1,27.228516605134136,R3
18,27.228516605134136,TR1,TP1,end state,Material_1 instance N.1,27.228516605134136,R3
19,27.308438014260553,S1,S1,created material,Material_1 instance N.2,,
20,27.308438014260553,TR1,TP1,start state,Material_1 instance N.2,28.791771347593887,S1
21,28.791771347593887,TR1,TP1,end state,Material_1 instance N.2,28.791771347593887,S1
22,28.791771347593887,TR1,TP1,start state,Material_1 instance N.2,29.608438014260553,R1
23,29.608438014260553,TR1,TP1,end state,Material_1 instance N.2,29.608438014260553,R1
24,29.608438014260553,R1,P1,start state,Material_1 instance N.2,40.649839816080586,
25,29.881883222201818,S2,S2,created material,Material_2 instance N.3,,
26,29.881883222201818,TR2,TP1,start state,Material_2 instance N.3,30.698549888868484,S2
27,30.698549888868484,TR2,TP1,end state,Material_2 instance N.3,30.698549888868484,S2
28,30.698549888868484,TR2,TP1,start state,Material_2 instance N.3,31.848549888868483,R4
29,31.848549888868483,TR2,TP1,end state,Material_2 instance N.3,31.848549888868483,R4
30,31.848549888868483,R4,P1,start state,Material_2 instance N.3,48.84815591376847,
31,40.649839816080586,R1,P1,end state,Material_1 instance N.2,40.649839816080586,
32,40.649839816080586,TR2,TP1,start state,Material_1 instance N.2,41.13317314941392,R1
33,41.13317314941392,TR2,TP1,end state,Material_1 instance N.2,41.13317314941392,R1
34,41.13317314941392,TR2,TP1,start state,Material_1 instance N.2,41.616506482747255,R2
35,41.616506482747255,TR2,TP1,end state,Material_1 instance N.2,41.616506482747255,R2
36,41.616506482747255,R2,P2,start state,Material_1 instance N.2,56.616506482747255,
37,42.95722934482406,TR2,Breakdownstate_1,start state,,72.95722934482406,
38,48.84815591376847,R4,P1,end state,Material_2 instance N.3,48.84815591376847,
39,48.84815591376847,TR1,TP1,start state,Material_2 instance N.3,49.33148924710181,R4
40,49.33148924710181,TR1,TP1,end state,Material_2 instance N.3,49.33148924710181,R4
41,49.33148924710181,TR1,TP1,start state,Material_2 instance N.3,49.81482258043514,R1
42,49.43603437928441,R3,Breakdownstate_1,end state,,49.43603437928441,
43,49.43603437928441,R3,P1,end interrupt,Material_3 instance N.0,64.91913133474404,
44,49.81482258043514,TR1,TP1,end state,Material_2 instance N.3,49.81482258043514,R1
45,49.81482258043514,R1,P2,start state,Material_2 instance N.3,64.81482258043513,
46,56.616506482747255,R2,P2,end state,Material_1 instance N.2,56.616506482747255,
47,56.616506482747255,TR1,TP1,start state,Material_1 instance N.2,57.09983981608059,R2
48,57.09983981608059,TR1,TP1,end state,Material_1 instance N.2,57.09983981608059,R2
49,57.09983981608059,TR1,TP1,start state,Material_1 instance N.2,57.58317314941392,R3
50,57.58317314941392,TR1,TP1,end state,Material_1 instance N.2,57.58317314941392,R3
51,61.4257312241246,R2,Breakdownstate_2,start state,,91.4257312241246,
52,64.81482258043513,R1,P2,end state,Material_2 instance N.3,64.81482258043513,
53,64.81482258043513,TR1,TP1,start state,Material_2 instance N.3,65.6314892471018,R1
54,64.91913133474404,R3,P1,end state,Material_3 instance N.0,64.91913133474404,
55,64.91913133474404,R3,P1,start state,Material_1 instance N.1,76.42304281519199,
56,64.91913133474404,R3,P3,start state,Material_1 instance N.2,90.7630093453712,
57,65.43335736130783,S3,S3,created material,Material_3 instance N.4,,
58,65.6314892471018,TR1,TP1,end state,Material_2 instance N.3,65.6314892471018,R1
59,65.6314892471018,TR1,TP1,start state,Material_2 instance N.3,66.11482258043513,R2
60,66.11482258043513,TR1,TP1,end state,Material_2 instance N.3,66.11482258043513,R2
61,72.95722934482406,TR2,Breakdownstate_1,end state,,72.95722934482406,
62,72.95722934482406,TR2,TP1,start state,Material_3 instance N.0,73.44056267815739,R3
63,73.44056267815739,TR2,TP1,end state,Material_3 instance N.0,73.44056267815739,R3
64,73.44056267815739,TR2,TP1,start state,Material_3 instance N.0,75.42389601149073,S3
65,75.42389601149073,TR2,TP1,end state,Material_3 instance N.0,75.42389601149073,S3
67,75.42389601149073,TR2,TP1,start state,Material_3 instance N.4,76.40722934482406,S3
66,75.42389601149073,S3,S3,finished material,Material_3 instance N.0,,
68,76.40722934482406,TR2,TP1,end state,Material_3 instance N.4,76.40722934482406,S3
69,76.40722934482406,TR2,TP1,start state,Material_3 instance N.4,77.55722934482407,R3
70,76.42304281519199,R3,P1,end state,Material_1 instance N.1,76.42304281519199,
71,76.42304281519199,TR1,TP1,start state,Material_1 instance N.1,76.90637614852533,R3
72,76.90637614852533,TR1,TP1,end state,Material_1 instance N.1,76.90637614852533,R3
73,76.90637614852533,TR1,TP1,start state,Material_1 instance N.1,77.38970948185866,R2
74,77.13768689768598,S2,S2,created material,Material_2 instance N.5,,
75,77.38970948185866,TR1,TP1,end state,Material_1 instance N.1,77.38970948185866,R2
76,77.38970948185866,TR1,TP1,start state,Material_2 instance N.5,78.53970948185867,S2
77,77.55722934482407,TR2,TP1,end state,Material_3 instance N.4,77.55722934482407,R3
78,77.55722934482407,R3,P3,start state,Material_3 instance N.4,100.69707660862277,
79,78.53970948185867,TR1,TP1,end state,Material_2 instance N.5,78.53970948185867,S2
80,78.53970948185867,TR1,TP1,start state,Material_2 instance N.5,79.68970948185867,R4
81,79.68970948185867,TR1,TP1,end state,Material_2 instance N.5,79.68970948185867,R4
82,79.68970948185867,R4,P1,start state,Material_2 instance N.5,94.23681619489044,
83,80.64636793034407,S3,S3,created material,Material_3 instance N.6,,
84,80.64636793034407,TR2,TP1,start state,Material_3 instance N.6,81.79636793034408,S3
85,81.79636793034408,TR2,TP1,end state,Material_3 instance N.6,81.79636793034408,S3
86,81.79636793034408,TR2,TP1,start state,Material_3 instance N.6,83.27970126367741,R4
87,83.27970126367741,TR2,TP1,end state,Material_3 instance N.6,83.27970126367741,R4
88,83.27970126367741,R4,P1,start state,Material_3 instance N.6,103.95958298987128,
91,83.8742721482873,R4,Breakdownstate_1,start state,,113.8742721482873,
89,83.8742721482873,R4,P1,start interrupt,Material_2 instance N.5,94.23681619489044,
90,83.8742721482873,R4,P1,start interrupt,Material_3 instance N.6,103.95958298987128,
92,90.45658515337891,S3,S3,created material,Material_3 instance N.7,,
93,90.45658515337891,TR1,TP1,start state,Material_3 instance N.7,91.93991848671224,S3
94,90.7630093453712,R3,P3,end state,Material_1 instance N.2,90.7630093453712,
95,90.7630093453712,TR2,TP1,start state,Material_1 instance N.2,91.24634267870454,R3
96,91.24634267870454,TR2,TP1,end state,Material_1 instance N.2,91.24634267870454,R3
97,91.24634267870454,TR2,TP1,start state,Material_1 instance N.2,93.39634267870454,SK1
98,91.4257312241246,R2,Breakdownstate_2,end state,,91.4257312241246,
99,91.4257312241246,R2,P3,start state,Material_2 instance N.3,113.00760734178623,
100,91.93991848671224,TR1,TP1,end state,Material_3 instance N.7,91.93991848671224,S3
101,91.93991848671224,TR1,TP1,start state,Material_3 instance N.7,93.08991848671225,R3
102,93.08991848671225,TR1,TP1,end state,Material_3 instance N.7,93.08991848671225,R3
103,93.08991848671225,R3,P1,start state,Material_3 instance N.7,101.54974158067374,
104,93.39634267870454,TR2,TP1,end state,Material_1 instance N.2,93.39634267870454,SK1
105,93.39634267870454,SK1,SK1,finished material,Material_1 instance N.2,,
106,100.69707660862277,R3,P3,end state,Material_3 instance N.4,100.69707660862277,
107,100.69707660862277,TR1,TP1,start state,Material_3 instance N.4,101.51374327528943,R1
108,101.51374327528943,TR1,TP1,end state,Material_3 instance N.4,101.51374327528943,R1
109,101.51374327528943,R1,P2,start state,Material_3 instance N.4,116.51374327528943,
110,101.54974158067374,R3,P1,end state,Material_3 instance N.7,101.54974158067374,
111,101.54974158067374,TR1,TP1,start state,Material_3 instance N.7,102.3664082473404,R3
112,102.347920877593,S3,S3,created material,Material_3 instance N.8,,
113,102.347920877593,TR2,TP1,start state,Material_3 instance N.8,103.497920877593,S3
114,102.3664082473404,TR1,TP1,end state,Material_3 instance N.7,102.3664082473404,R3
115,102.3664082473404,TR1,TP1,start state,Material_3 instance N.7,103.18307491400707,R1
116,103.18307491400707,TR1,TP1,end state,Material_3 instance N.7,103.18307491400707,R1
117,103.18307491400707,R1,P1,start state,Material_3 instance N.7,120.40794961481183,
118,103.497920877593,TR2,TP1,end state,Material_3 instance N.8,103.497920877593,S3
119,103.497920877593,TR2,TP1,start state,Material_3 instance N.8,104.98125421092634,R2
120,104.98125421092634,TR2,TP1,end state,Material_3 instance N.8,104.98125421092634,R2
121,113.00760734178623,R2,P3,end state,Material_2 instance N.3,113.00760734178623,
122,113.00760734178623,TR1,TP1,start state,Material_2 instance N.3,113.49094067511956,R2
123,113.00760734178623,R2,P2,start state,Material_1 instance N.1,128.00760734178624,
124,113.49094067511956,TR1,TP1,end state,Material_2 instance N.3,113.49094067511956,R2
125,113.49094067511956,TR1,TP1,start state,Material_2 instance N.3,113.9742740084529,R3
126,113.8742721482873,R4,Breakdownstate_1,end state,,113.8742721482873,
127,113.8742721482873,R4,P1,end interrupt,Material_2 instance N.5,124.23681619489044,
128,113.8742721482873,R4,P1,end interrupt,Material_3 instance N.6,133.95958298987128,
129,113.9742740084529,TR1,TP1,end state,Material_2 instance N.3,113.9742740084529,R3
130,113.9742740084529,R3,P1,start state,Material_2 instance N.3,134.30614961479375,
131,116.51374327528943,R1,P2,end state,Material_3 instance N.4,116.51374327528943,
132,116.51374327528943,TR1,TP1,start state,Material_3 instance N.4,117.33040994195609,R1
133,117.33040994195609,TR1,TP1,end state,Material_3 instance N.4,117.33040994195609,R1
134,117.33040994195609,TR1,TP1,start state,Material_3 instance N.4,117.81374327528943,R4
135,117.81374327528943,TR1,TP1,end state,Material_3 instance N.4,117.81374327528943,R4
136,120.40794961481183,R1,P1,end state,Material_3 instance N.7,120.40794961481183,
137,120.40794961481183,TR2,TP1,start state,Material_3 instance N.7,120.89128294814516,R1
138,120.89128294814516,TR2,TP1,end state,Material_3 instance N.7,120.89128294814516,R1
139,120.89128294814516,TR2,TP1,start state,Material_3 instance N.7,123.54128294814517,S3
140,123.54128294814517,TR2,TP1,end state,Material_3 instance N.7,123.54128294814517,S3
141,123.54128294814517,S3,S3,finished material,Material_3 instance N.7,,
142,124.23681619489044,R4,P1,end state,Material_2 instance N.5,124.23681619489044,
143,124.23681619489044,TR2,TP1,start state,Material_2 instance N.5,126.5534828615571,R4
144,124.23681619489044,R4,P1,start state,Material_3 instance N.4,138.8771183089133,
145,126.5534828615571,TR2,TP1,end state,Material_2 instance N.5,126.5534828615571,R4
146,126.5534828615571,TR2,TP1,start state,Material_2 instance N.5,127.03681619489043,R1
147,127.03681619489043,TR2,TP1,end state,Material_2 instance N.5,127.03681619489043,R1
148,127.03681619489043,R1,P2,start state,Material_2 instance N.5,142.03681619489043,
149,128.00760734178624,R2,P2,end state,Material_1 instance N.1,128.00760734178624,
150,128.00760734178624,TR1,TP1,start state,Material_1 instance N.1,128.8242740084529,R2
151,128.00760734178624,R2,P3,start state,Material_3 instance N.8,144.60945389582258,
152,128.8242740084529,TR1,TP1,end state,Material_1 instance N.1,128.8242740084529,R2
153,128.8242740084529,TR1,TP1,start state,Material_1 instance N.1,129.30760734178622,R3
154,129.30760734178622,TR1,TP1,end state,Material_1 instance N.1,129.30760734178622,R3
155,129.30760734178622,R3,P3,start state,Material_1 instance N.1,154.2806261932526,
158,130.55695246997632,R4,Breakdownstate_1,start state,,160.55695246997632,
156,130.55695246997632,R4,P1,start interrupt,Material_3 instance N.4,138.8771183089133,
