INFO:root:M, Material_2 instance N.0, P1
INFO:root:M, Material_2 instance N.0, P2
INFO:root:M, Material_2 instance N.0, P3
INFO:root:M, Material_2 instance N.0, P1
INFO:root:M, Material_1 instance N.1, P1
INFO:root:M, Material_3 instance N.2, P1
INFO:root:M, Material_2 instance N.3, P1
INFO:root:M, Material_1 instance N.4, P1
INFO:root:M, Material_2 instance N.3, P2
INFO:root:M, Material_1 instance N.1, P2
INFO:root:M, Material_3 instance N.2, P1
INFO:root:M, Material_1 instance N.4, P2
INFO:root:M, Material_3 instance N.5, skip
INFO:root:M, Material_3 instance N.5, P3
INFO:root:M, Material_1 instance N.1, P3
INFO:root:M, Material_2 instance N.3, P3
INFO:root:M, Material_1 instance N.6, P1
INFO:root:M, Material_1 instance N.4, P3
INFO:root:M, Material_3 instance N.5, P2
INFO:root:M, Material_2 instance N.3, P1
INFO:root:M, Material_1 instance N.6, P2
INFO:root:M, Material_1 instance N.7, P1
INFO:root:M, Material_1 instance N.8, P1
INFO:root:M, Material_3 instance N.5, skip
INFO:root:M, Material_3 instance N.5, P1
INFO:root:M, Material_1 instance N.8, P2
INFO:root:M, Material_1 instance N.7, P2
INFO:root:M, Material_2 instance N.9, P1
INFO:root:M, Material_1 instance N.10, P1
INFO:root:M, Material_1 instance N.10, P2
INFO:root:M, Material_2 instance N.9, P2
INFO:root:M, Material_2 instance N.11, P1
INFO:root:M, Material_1 instance N.6, P3
INFO:root:M, Material_2 instance N.9, P3
INFO:root:M, Material_2 instance N.11, P2
INFO:root:M, Material_2 instance N.12, P1
INFO:root:M, Material_1 instance N.8, P3
INFO:root:M, Material_2 instance N.9, P1
INFO:root:M, Material_2 instance N.12, P2
INFO:root:M, Material_2 instance N.12, P3
INFO:root:M, Material_1 instance N.13, P1
INFO:root:M, Material_1 instance N.7, P3
INFO:root:M, Material_1 instance N.14, P1
INFO:root:M, Material_1 instance N.13, P2
INFO:root:M, Material_1 instance N.10, P3
INFO:root:M, Material_1 instance N.13, P3
INFO:root:M, Material_2 instance N.15, P1
INFO:root:M, Material_1 instance N.16, P1
INFO:root:M, Material_2 instance N.15, P2
INFO:root:M, Material_1 instance N.14, P2
INFO:root:M, Material_1 instance N.16, P2
INFO:root:M, Material_2 instance N.17, P1
INFO:root:M, Material_1 instance N.16, P3
INFO:root:M, Material_1 instance N.18, P1
INFO:root:M, Material_2 instance N.11, P3
INFO:root:M, Material_1 instance N.19, P1
INFO:root:M, Material_2 instance N.15, P3
INFO:root:M, Material_1 instance N.18, P2
INFO:root:M, Material_1 instance N.20, P1
INFO:root:M, Material_2 instance N.12, P1
INFO:root:M, Material_2 instance N.21, P1
INFO:root:M, Material_2 instance N.22, P1
INFO:root:M, Material_1 instance N.19, P2
INFO:root:M, Material_3 instance N.23, skip
INFO:root:M, Material_3 instance N.23, P3
INFO:root:M, Material_3 instance N.24, skip
INFO:root:M, Material_3 instance N.24, P3
INFO:root:M, Material_2 instance N.17, P2
INFO:root:M, Material_2 instance N.22, P2
INFO:root:M, Material_1 instance N.25, P1
INFO:root:M, Material_1 instance N.20, P2
INFO:root:M, Material_2 instance N.11, P1
INFO:root:M, Material_1 instance N.14, P3
INFO:root:M, Material_2 instance N.21, P2
INFO:root:M, Material_1 instance N.19, P3
INFO:root:M, Material_2 instance N.26, P1
INFO:root:M, Material_3 instance N.23, P2
INFO:root:M, Material_1 instance N.25, P2
INFO:root:M, Material_3 instance N.24, P2
INFO:root:M, Material_2 instance N.27, P1
INFO:root:M, Material_2 instance N.28, P1
INFO:root:M, Material_2 instance N.15, P1
INFO:root:M, Material_2 instance N.26, P2
INFO:root:M, Material_2 instance N.22, P3
INFO:root:M, Material_2 instance N.27, P2
INFO:root:M, Material_2 instance N.21, P3
INFO:root:M, Material_2 instance N.21, P1
INFO:root:M, Material_1 instance N.18, P3
INFO:root:M, Material_3 instance N.29, skip
INFO:root:M, Material_3 instance N.29, P2
INFO:root:M, Material_2 instance N.17, P3
INFO:root:M, Material_3 instance N.30, P1
INFO:root:M, Material_3 instance N.24, skip
INFO:root:M, Material_3 instance N.24, P1
INFO:root:M, Material_2 instance N.28, P2
INFO:root:M, Material_1 instance N.20, P3
INFO:root:M, Material_2 instance N.31, P1
INFO:root:M, Material_2 instance N.17, P1
